symbol,avg_volume,avg_value,data_days
VNE,132893.33333333334,787144.6333333333,785
CAT,47108.13333333333,784849.4636666666,785
SMB,19237.6,774798.8333333334,785
LDP,66883.33333333333,771408.6666666666,785
ECO,21668.633333333335,763232.3523333333,307
DHT,10036.666666666666,740018.6666666666,785
PXS,236853.33333333334,738251.3333333334,785
KHB,321566.4,733468.0133333333,785
SKG,71896.66666666667,732572.4333333333,785
TNI,127263.33333333333,723374.2666666667,785
TRA,9900.0,719040.3333333334,785
HVA,36863.333333333336,712779.6666666666,785
TIP,39324.9,707427.6430000003,785
HVT,23816.666666666668,706138.0,785
ABI,34833.333333333336,697262.3333333334,785
TEG,101796.66666666667,697211.8333333334,785
SGB,55147.433333333334,695570.065,785
PTI,17376.666666666668,683344.0,785
SDA,222163.33333333334,683030.0,785
PWA,108296.66666666667,681144.0,785
ST8,123970.0,678474.6,785
CEN,274653.3333333333,676591.3333333334,785
LMH,593340.0,667575.6666666666,785
VTR,50307.7,665260.8859999999,785
TSA,48056.666666666664,664638.3333333334,361
CVN,495856.6666666667,664279.0,785
TVC,72293.33333333333,658512.3333333334,785
HLD,35283.333333333336,657575.0,785
HTG,14782.466666666667,652316.4389999999,785
CCL,104196.66666666667,650280.2333333333,785
AST,8583.333333333334,647065.0,785
C32,50389.03333333333,640964.6123333332,785
CMX,96970.0,637497.0666666667,785
VTC,33200.0,608731.6666666666,785
MBG,176233.33333333334,590019.3333333334,785
DVG,386563.3333333333,587114.3333333334,785
TDH,126886.66666666667,586621.6666666666,785
SJD,41286.666666666664,582025.0,785
VSH,13138.933333333332,580900.9783333334,785
HTI,24026.666666666668,574022.5,785
DSC,37530.0,572533.5,785
FOC,8856.666666666666,569916.6666666666,785
ILS,30893.333333333332,561084.6666666666,785
MCP,19323.333333333332,551180.5,785
TNA,128993.33333333333,539476.1,785
LIX,15423.333333333334,537901.0,785
VBB,51357.0,537675.5133333333,785
TNT,67210.0,533645.5666666667,785
VIW,25670.0,522770.0,785
NO1,78525.73333333334,519723.00933333335,770
SPI,194730.0,517549.0,785
SGN,8553.433333333332,514530.36666666664,785
CT3,96033.33333333333,514214.6666666667,785
VIG,88380.0,513950.0,785
DAG,275831.4666666667,509927.0013333333,785
FIC,29143.333333333332,509304.3333333333,785
TLH,99843.33333333333,507480.63333333336,785
VST,150826.66666666666,505678.6666666667,785
IVS,57380.0,504364.3333333333,785
S99,53736.666666666664,501108.0,785
PMC,2928.7,499210.17733333335,785
CKG,44156.666666666664,495594.8333333333,785
ABT,7100.0,493761.0,785
SJM,69063.33333333333,487802.6666666667,785
IDV,18350.0,484754.72599999997,785
CQN,15106.666666666666,474591.3333333333,785
MCM,17832.166666666668,473238.46333333326,785
SCL,24047.9,468267.69666666666,785
ACM,741253.3333333334,468195.6666666667,785
BCC,59300.0,466427.6666666667,785
RAL,5040.0,465828.3333333333,785
GSP,44476.666666666664,464357.3333333333,785
DAH,122296.66666666667,462008.4666666667,785
PDV,43597.96666666667,461035.033,785
GDT,21883.333333333332,457209.6666666667,785
BKC,20756.666666666668,456476.6666666667,785
QBS,622983.3333333334,455460.0,785
DP3,8730.0,449707.0,785
SLS,2736.6666666666665,449076.6666666667,785
CDP,37460.0,446981.6666666667,785
VGP,15801.766666666666,445685.19066666666,785
CAP,10973.333333333334,445024.3333333333,785
TCL,12790.0,442008.6666666667,785
VSI,19448.366666666665,440419.5203333333,785
BTP,46045.76666666667,438556.41099999996,785
L18,16746.666666666668,437079.3333333333,785
